name,director,release_year,running_time,language,budget
Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,2021,132,english,200
Dune,Denis Villeneuve,2021,156,english,165
No Time to Die,Cary Joji Fukunaga,2021,163,english,250
Venom: Let There Be Carnage,Andy Serkis,2021,101,english,110
Free Guy,Shawn Levy,2021,115,english,100
Don't Breathe 2,Rodo Sayagues,2021,99,english,15
Detective Conan: The Scarlet Bullet,Tomoka Nagaoka,2021,110,japanese,
Snake Eyes: G.I. Joe Origins,Robert Schwentke,2021,121,english,88
Fast and Furious 9,Justin Lin,2021,125,english,200
The Suicide Squad,James Gunn,2021,132,english,185
